n	REAL(eigenstate[n])	IMAG(eigenstate[n])
0	0.000001	0.000001
1	0.000002	0.000002
2	0.000003	0.000003
3	0.000004	0.000004
4	0.000004	0.000004
5	0.000005	0.000005
6	0.000006	0.000006
7	0.000007	0.000007
8	0.000008	0.000008
9	0.000008	0.000008
10	0.000009	0.000009
11	0.000010	0.000010
12	0.000010	0.000010
13	0.000011	0.000011
14	0.000012	0.000012
15	0.000012	0.000012
16	0.000013	0.000013
17	0.000013	0.000013
18	0.000014	0.000014
19	0.000014	0.000014
20	0.000015	0.000015
21	0.000015	0.000015
22	0.000016	0.000015
23	0.000016	0.000016
24	0.000016	0.000016
25	0.000017	0.000017
26	0.000017	0.000017
27	0.000017	0.000017
28	0.000017	0.000018
29	0.000018	0.000018
30	0.000018	0.000018
31	0.000018	0.000018
32	0.000018	0.000019
33	0.000019	0.000019
34	0.000019	0.000019
35	0.000019	0.000019
36	0.000019	0.000020
37	0.000020	0.000020
38	0.000020	0.000020
39	0.000020	0.000020
40	0.000020	0.000021
41	0.000021	0.000021
42	0.000021	0.000021
43	0.000021	0.000021
44	0.000021	0.000021
45	0.000022	0.000022
46	0.000022	0.000022
47	0.000022	0.000022
48	0.000022	0.000022
49	0.000023	0.000022
50	0.000023	0.000022
51	0.000023	0.000023
52	0.000023	0.000023
53	0.000024	0.000023
54	0.000024	0.000023
55	0.000024	0.000023
56	0.000024	0.000024
57	0.000025	0.000024
58	0.000025	0.000024
59	0.000025	0.000024
60	0.000025	0.000024
61	0.000026	0.000025
62	0.000026	0.000025
63	0.000026	0.000025
64	0.000026	0.000025
65	0.000027	0.000025
66	0.000027	0.000026
67	0.000027	0.000026
68	0.000027	0.000026
69	0.000027	0.000026
70	0.000028	0.000026
71	0.000028	0.000027
72	0.000028	0.000027
73	0.000028	0.000027
74	0.000028	0.000027
75	0.000028	0.000028
76	0.000028	0.000028
77	0.000029	0.000028
78	0.000029	0.000028
79	0.000029	0.000029
80	0.000029	0.000029
81	0.000029	0.000029
82	0.000029	0.000029
83	0.000029	0.000029
84	0.000030	0.000030
85	0.000030	0.000030
86	0.000030	0.000030
87	0.000030	0.000030
88	0.000030	0.000031
89	0.000031	0.000031
90	0.000031	0.000031
91	0.000031	0.000031
92	0.000031	0.000032
93	0.000031	0.000032
94	0.000032	0.000032
95	0.000032	0.000032
96	0.000032	0.000033
97	0.000032	0.000033
98	0.000033	0.000033
99	0.000033	0.000034
100	0.000033	0.000034
101	0.000034	0.000034
102	0.000034	0.000035
103	0.000034	0.000035
104	0.000034	0.000035
105	0.000035	0.000036
106	0.000035	0.000036
107	0.000035	0.000036
108	0.000035	0.000037
109	0.000036	0.000037
110	0.000036	0.000037
111	0.000036	0.000038
112	0.000037	0.000038
113	0.000037	0.000038
114	0.000038	0.000039
115	0.000038	0.000039
116	0.000039	0.000039
117	0.000039	0.000040
118	0.000040	0.000040
119	0.000040	0.000041
120	0.000041	0.000041
121	0.000041	0.000042
122	0.000042	0.000042
123	0.000042	0.000043
124	0.000043	0.000043
125	0.000043	0.000044
126	0.000044	0.000044
127	0.000045	0.000045
128	0.000045	0.000045
129	0.000046	0.000046
130	0.000047	0.000046
131	0.000048	0.000047
132	0.000048	0.000048
133	0.000049	0.000048
134	0.000050	0.000049
135	0.000051	0.000049
136	0.000051	0.000050
137	0.000052	0.000051
138	0.000053	0.000051
139	0.000054	0.000052
140	0.000055	0.000053
141	0.000056	0.000053
142	0.000056	0.000054
143	0.000057	0.000055
144	0.000058	0.000056
145	0.000059	0.000056
146	0.000060	0.000057
147	0.000061	0.000058
148	0.000061	0.000058
149	0.000062	0.000059
150	0.000063	0.000060
151	0.000064	0.000060
152	0.000065	0.000061
153	0.000066	0.000062
154	0.000066	0.000062
155	0.000067	0.000063
156	0.000068	0.000064
157	0.000069	0.000064
158	0.000070	0.000065
159	0.000071	0.000065
160	0.000072	0.000066
161	0.000073	0.000067
162	0.000074	0.000067
163	0.000075	0.000068
164	0.000076	0.000068
165	0.000077	0.000069
166	0.000078	0.000070
167	0.000079	0.000070
168	0.000080	0.000071
169	0.000081	0.000072
170	0.000082	0.000072
171	0.000083	0.000073
172	0.000084	0.000074
173	0.000085	0.000075
174	0.000086	0.000075
175	0.000088	0.000076
176	0.000089	0.000077
